id,order_id,payment_method,amount
303,290,coupon,357
304,291,credit_card,288
305,292,credit_card,1426
306,293,credit_card,612
307,294,coupon,539
308,295,bank_transfer,506
309,296,gift_card,570
310,297,gift_card,1076
311,298,coupon,152
312,299,bank_transfer,937
313,300,credit_card,888
314,301,credit_card,1462
315,302,coupon,606
316,303,bank_transfer,256
317,304,credit_card,1061
318,305,coupon,365
319,306,credit_card,223
320,307,gift_card,1844
321,308,gift_card,1616
322,309,coupon,368
323,310,credit_card,358
324,311,gift_card,458
325,312,bank_transfer,1686
326,313,bank_transfer,156
327,314,gift_card,430
328,315,gift_card,1954
329,316,bank_transfer,1755
330,317,gift_card,292
331,318,gift_card,230
332,319,credit_card,1637
333,320,coupon,186
334,321,bank_transfer,1424
335,322,bank_transfer,1953
336,323,credit_card,1359
337,324,bank_transfer,2548
338,325,credit_card,1466
339,326,bank_transfer,393
340,327,bank_transfer,1419
341,328,credit_card,2679
342,329,credit_card,2639
343,330,credit_card,2718
344,331,coupon,209
345,332,credit_card,224
346,333,gift_card,153
347,334,gift_card,1249
348,335,coupon,769
349,336,coupon,717
350,337,bank_transfer,773
351,338,coupon,767
352,339,credit_card,774
353,340,credit_card,1557
354,341,coupon,251
355,342,coupon,375
356,343,gift_card,1694
357,344,gift_card,1401
358,345,bank_transfer,867
359,346,gift_card,1728
360,347,coupon,525
361,348,credit_card,1804
362,349,coupon,168
363,350,bank_transfer,2686
364,351,bank_transfer,735
365,352,credit_card,554
366,353,coupon,740
367,354,bank_transfer,1448
368,355,bank_transfer,2965
369,356,bank_transfer,1013
370,357,gift_card,350
371,358,gift_card,279
372,359,coupon,734
373,360,credit_card,985
374,361,coupon,541
375,362,gift_card,516
376,363,coupon,290
377,364,credit_card,525
378,365,coupon,227
379,366,gift_card,1065
380,367,credit_card,2278
381,368,gift_card,1633
382,369,bank_transfer,149
383,370,bank_transfer,1185
384,371,credit_card,2934
385,372,coupon,799
386,373,gift_card,74
387,374,credit_card,181
388,375,bank_transfer,1757
389,376,credit_card,1624
390,377,bank_transfer,2657
391,378,gift_card,134
392,379,credit_card,1874
393,380,gift_card,911
394,381,gift_card,393
395,382,coupon,814
396,383,coupon,239
397,384,bank_transfer,2504
398,385,gift_card,1008
399,386,coupon,669
400,387,coupon,360
401,388,gift_card,1204
402,389,credit_card,416
403,390,gift_card,1420
404,391,coupon,690
405,392,credit_card,1391
406,393,bank_transfer,1122
407,394,credit_card,2035
408,395,credit_card,2908
409,396,coupon,801
410,397,bank_transfer,333
411,398,bank_transfer,1765
412,399,credit_card,2790
413,400,gift_card,1099
414,401,credit_card,872
415,402,coupon,814
416,403,gift_card,450
417,404,credit_card,466
418,405,coupon,42
419,406,gift_card,588
420,407,coupon,661
421,408,gift_card,602
422,409,coupon,63
423,410,bank_transfer,2271
424,411,gift_card,1019
425,412,coupon,534
426,413,coupon,184
427,414,credit_card,2060
428,415,gift_card,1739
429,416,credit_card,2574
430,417,gift_card,1634
431,418,credit_card,1764
432,419,coupon,930
433,420,coupon,345
434,421,credit_card,753
435,422,credit_card,1939
436,423,credit_card,1915
437,424,credit_card,405
438,425,bank_transfer,2209
439,426,credit_card,185
440,427,credit_card,988
441,428,gift_card,580
442,429,bank_transfer,1815
443,430,bank_transfer,2865
444,431,coupon,806
445,432,gift_card,1902
446,433,coupon,99
447,434,coupon,677
448,435,coupon,309
449,436,coupon,637
450,437,bank_transfer,2057
451,438,bank_transfer,289
452,439,coupon,841
453,440,gift_card,579
454,441,coupon,490
455,442,credit_card,1576
456,443,gift_card,699
457,444,gift_card,418
458,445,coupon,961
459,446,coupon,100
460,447,coupon,37
461,448,coupon,854
462,449,bank_transfer,2238
463,450,credit_card,1327
464,451,bank_transfer,1918
465,452,coupon,969
466,453,coupon,161
467,454,coupon,616
468,455,coupon,211
469,456,credit_card,2708
470,457,credit_card,211
471,458,bank_transfer,652
472,459,credit_card,1108
473,460,bank_transfer,2216
474,461,coupon,813
475,462,credit_card,344
476,463,bank_transfer,1537
477,464,credit_card,2774
478,465,credit_card,2619
479,466,credit_card,2968
480,467,coupon,17
481,468,bank_transfer,522
482,469,bank_transfer,1119
483,470,credit_card,981
484,471,gift_card,1906
485,472,credit_card,2638
486,473,credit_card,1958
487,474,bank_transfer,2127
488,475,gift_card,1011
489,476,bank_transfer,798
490,477,gift_card,1955
491,478,coupon,561
492,479,coupon,737
493,480,credit_card,2906
494,481,coupon,314
495,482,coupon,582
496,483,bank_transfer,2561
497,484,coupon,394
498,485,gift_card,1227
499,486,credit_card,1703
500,487,credit_card,661
501,488,credit_card,892
502,489,coupon,728
503,490,bank_transfer,2355
504,491,coupon,473
505,492,bank_transfer,633
506,493,coupon,584
507,494,coupon,870
508,495,coupon,674
509,496,gift_card,91
510,497,credit_card,1885
511,498,credit_card,2472
512,499,gift_card,1646
513,500,bank_transfer,471
514,501,bank_transfer,668
515,502,credit_card,125
516,503,bank_transfer,2347
517,504,coupon,394
518,505,gift_card,440
519,506,credit_card,1218
520,507,bank_transfer,2386
521,508,bank_transfer,1469
522,509,gift_card,413
523,510,gift_card,1286
524,511,credit_card,810
525,512,coupon,125
526,513,credit_card,377
527,514,coupon,861
528,515,bank_transfer,2481
529,516,bank_transfer,797
530,517,gift_card,1658
531,518,coupon,134
532,519,gift_card,867
533,520,credit_card,890
534,521,bank_transfer,1103
535,522,credit_card,2288
536,523,gift_card,1544
537,524,bank_transfer,1454
538,525,credit_card,2853
539,526,bank_transfer,1799
540,527,coupon,254
541,528,credit_card,1273
542,529,bank_transfer,2582
543,530,coupon,948
544,531,gift_card,556
545,532,credit_card,2111
546,533,gift_card,86
547,534,gift_card,1143
548,535,coupon,147
549,536,credit_card,1869
550,537,credit_card,2833
551,538,coupon,777
552,539,gift_card,802
553,540,gift_card,315
554,541,gift_card,1084
555,542,gift_card,277
556,543,credit_card,1100
557,544,gift_card,1431
558,545,credit_card,2917
559,546,credit_card,1049
560,547,bank_transfer,350
561,548,gift_card,1679
562,549,coupon,80
563,550,coupon,911
564,551,bank_transfer,1570
565,552,bank_transfer,1777
566,553,gift_card,1687
567,554,credit_card,2429
568,555,credit_card,1883
569,556,gift_card,127
570,557,bank_transfer,2922
571,558,credit_card,1971
572,559,gift_card,1320
573,560,credit_card,931
574,561,bank_transfer,1628
575,562,gift_card,83
576,563,credit_card,2553
577,564,coupon,396
578,565,credit_card,152
579,566,coupon,406
580,567,credit_card,2999
581,568,bank_transfer,2086
582,569,bank_transfer,1484
583,570,gift_card,1147
584,571,gift_card,1292
585,572,bank_transfer,1608
586,573,bank_transfer,892
587,574,bank_transfer,1165
588,575,credit_card,316
589,576,gift_card,1366
590,577,bank_transfer,298
591,578,credit_card,2447
592,579,credit_card,1161
593,580,bank_transfer,477
594,581,bank_transfer,2054
595,582,gift_card,725
596,583,bank_transfer,1500
597,584,bank_transfer,320
598,585,credit_card,2921
599,586,coupon,801
600,587,bank_transfer,810
601,588,coupon,904
602,589,gift_card,1601
603,590,credit_card,2044
604,591,bank_transfer,2776
605,592,gift_card,16
606,593,gift_card,1429
607,594,coupon,610
608,595,bank_transfer,1462
609,596,coupon,982
610,597,credit_card,984
611,598,credit_card,2258
612,599,gift_card,1881
613,600,gift_card,669
614,601,bank_transfer,2725
615,602,coupon,346
616,603,coupon,600
617,604,bank_transfer,739
618,605,coupon,643
619,606,credit_card,1284
620,607,coupon,836
621,608,gift_card,1232
622,609,credit_card,1213
623,610,bank_transfer,2833
624,611,credit_card,2963
625,612,bank_transfer,680
626,613,coupon,351
627,614,credit_card,334
628,615,credit_card,1231
629,616,bank_transfer,1169
630,617,bank_transfer,1861
631,618,credit_card,2613
632,619,credit_card,2933
633,620,gift_card,214
634,621,gift_card,702
635,622,gift_card,443
636,623,coupon,446
637,624,coupon,965
638,625,coupon,422
639,626,coupon,211
640,627,gift_card,998
641,628,credit_card,1138
642,629,coupon,390
643,630,coupon,522
644,631,credit_card,449
645,632,bank_transfer,2013
646,633,bank_transfer,2309
647,634,credit_card,1744
648,635,bank_transfer,2291
649,636,coupon,601
650,637,bank_transfer,1195
651,638,coupon,123
652,639,credit_card,2137
653,640,gift_card,412
654,641,bank_transfer,1062
655,642,bank_transfer,2834
656,643,coupon,513
657,644,coupon,998
658,645,gift_card,199
659,646,bank_transfer,1205
660,647,credit_card,2735
661,648,bank_transfer,1244
662,649,credit_card,1045
663,650,gift_card,1601
664,651,credit_card,1200
665,652,coupon,189
666,653,gift_card,1419
667,654,bank_transfer,2524
668,655,coupon,540
669,656,gift_card,1128
670,657,credit_card,2356
671,658,credit_card,2327
672,659,credit_card,662
673,660,credit_card,1770
674,661,bank_transfer,1322
675,662,credit_card,597
676,663,coupon,633
677,664,gift_card,1794
678,665,coupon,559
679,666,credit_card,2563
680,667,coupon,338
681,668,coupon,128
682,669,gift_card,568
683,670,coupon,214
684,671,coupon,644
685,672,bank_transfer,255
686,673,bank_transfer,430
687,674,credit_card,1303
688,675,gift_card,534
689,676,gift_card,468
690,677,gift_card,1455
691,678,bank_transfer,2852
692,679,gift_card,182
693,680,bank_transfer,2195
694,681,bank_transfer,1510
695,682,credit_card,2829
696,683,coupon,885
697,684,credit_card,2438
698,685,bank_transfer,1329
699,686,coupon,761
700,687,bank_transfer,1059
701,688,credit_card,834
702,689,coupon,365
703,690,gift_card,1587
704,691,credit_card,304
705,692,gift_card,1136
706,693,bank_transfer,614
707,694,bank_transfer,2279
708,695,credit_card,611
709,696,coupon,722
710,697,gift_card,674
711,698,credit_card,492
712,699,credit_card,1885
713,700,credit_card,1673
714,701,bank_transfer,1838
715,702,coupon,945
716,703,gift_card,638
717,704,credit_card,1903
718,705,bank_transfer,2418
719,706,gift_card,1337
720,707,bank_transfer,801
721,708,bank_transfer,213
722,709,coupon,203
723,710,coupon,723
724,711,credit_card,165
725,712,bank_transfer,864
726,713,coupon,738
727,714,bank_transfer,2694
728,715,coupon,556
729,716,coupon,463
730,717,coupon,955
731,718,bank_transfer,1531
732,719,gift_card,668
733,720,bank_transfer,1603
734,721,bank_transfer,1877
735,722,credit_card,1256
736,723,credit_card,1712
737,724,gift_card,740
738,725,credit_card,2105
739,726,gift_card,366
740,727,credit_card,688
741,728,coupon,607
742,729,credit_card,667
743,730,bank_transfer,2986
744,731,gift_card,192
745,732,credit_card,1972
746,733,bank_transfer,1882
747,734,gift_card,1234
748,735,credit_card,1468
749,736,coupon,406
750,737,credit_card,2073
751,738,credit_card,147
752,739,coupon,730
753,740,bank_transfer,2595
754,741,credit_card,2684
755,742,coupon,290
756,743,gift_card,9
757,744,coupon,610
758,745,coupon,969
759,746,gift_card,1448
760,747,credit_card,2440
761,748,gift_card,729
762,749,credit_card,1820
763,750,coupon,368
764,751,gift_card,1697
765,752,gift_card,352
766,753,gift_card,1248
767,754,gift_card,270
768,755,coupon,130
769,756,credit_card,2959
770,757,bank_transfer,197
771,758,credit_card,2401
772,759,coupon,196
773,760,credit_card,187
774,761,coupon,263
775,762,coupon,874
776,763,coupon,719
777,764,credit_card,572
778,765,gift_card,855
779,766,gift_card,1016
780,767,bank_transfer,630
781,768,credit_card,138
782,769,gift_card,1625
783,770,coupon,36
784,771,coupon,224
785,772,bank_transfer,2468
786,773,credit_card,857
787,774,credit_card,2822
788,775,gift_card,219
789,776,coupon,493
790,777,gift_card,335
791,778,bank_transfer,812
792,779,credit_card,380
793,780,credit_card,2250
794,781,coupon,185
795,782,gift_card,1065
796,783,gift_card,1348
797,784,bank_transfer,1436
798,785,credit_card,283
799,786,coupon,417
800,787,bank_transfer,670
801,788,coupon,528
802,789,gift_card,972
803,790,bank_transfer,812
804,791,bank_transfer,2971
805,792,bank_transfer,2462
806,793,gift_card,779
807,794,credit_card,2016
808,795,gift_card,562
809,796,credit_card,1108
810,797,coupon,754
811,798,coupon,705
812,799,coupon,664
813,800,credit_card,201
814,801,bank_transfer,1282
815,802,credit_card,649
816,803,credit_card,813
817,804,bank_transfer,1565
818,805,gift_card,1977
819,806,bank_transfer,1681
820,807,bank_transfer,2880
821,808,bank_transfer,711
822,809,credit_card,486
823,810,coupon,552
824,811,coupon,156
825,812,bank_transfer,2055
826,813,credit_card,2433
827,814,gift_card,605
828,815,bank_transfer,178
829,816,credit_card,2129
830,817,coupon,868
831,818,credit_card,2475
832,819,gift_card,774
833,820,bank_transfer,2026
834,821,gift_card,1687
835,822,gift_card,1364
836,823,gift_card,173
837,824,credit_card,1922
838,825,credit_card,169
839,826,credit_card,1774
840,827,credit_card,2994
841,828,coupon,426
842,829,credit_card,1275
843,830,credit_card,1757
844,831,credit_card,454
845,832,coupon,815
846,833,credit_card,2921
847,834,coupon,926
848,835,coupon,54
849,836,gift_card,897
850,837,credit_card,2035
851,838,bank_transfer,1821
852,839,gift_card,701
853,840,credit_card,341
854,841,bank_transfer,2962
855,842,bank_transfer,2966
856,843,gift_card,1471
857,844,bank_transfer,881
858,845,credit_card,574
859,846,gift_card,1634
860,847,gift_card,645
861,848,credit_card,673
862,849,credit_card,1414
863,850,gift_card,1231
864,851,credit_card,1352
865,852,gift_card,656
866,853,coupon,965
867,854,gift_card,1604
868,855,bank_transfer,467
869,856,bank_transfer,2963
870,857,bank_transfer,197
871,858,gift_card,347
872,859,gift_card,833
873,860,credit_card,2981
874,861,coupon,936
875,862,credit_card,2592
876,863,credit_card,1631
877,864,credit_card,1350
878,865,gift_card,938
879,866,credit_card,1632
880,867,bank_transfer,2165
881,868,credit_card,662
882,869,bank_transfer,1353
883,870,bank_transfer,421
884,871,coupon,844
885,872,credit_card,722
886,873,coupon,335
887,874,gift_card,326
888,875,bank_transfer,447
889,876,bank_transfer,2663
890,877,bank_transfer,776
891,878,credit_card,2033
892,879,bank_transfer,2067
893,880,bank_transfer,1760
894,881,gift_card,1418
895,882,bank_transfer,368
896,883,coupon,413
897,884,bank_transfer,1869
898,885,bank_transfer,796
899,886,gift_card,1917
900,887,gift_card,1533
901,888,bank_transfer,2980
902,889,gift_card,43
903,890,gift_card,1335
904,891,gift_card,688
905,892,credit_card,2405
906,893,coupon,865
907,894,credit_card,660
908,895,coupon,792
909,896,gift_card,934
910,897,bank_transfer,1490
911,898,bank_transfer,1671
912,899,credit_card,575
913,900,gift_card,580
914,901,bank_transfer,1713
915,902,coupon,253
916,903,coupon,833
917,904,coupon,490
918,905,gift_card,793
919,906,coupon,173
920,907,credit_card,2690
921,908,credit_card,2447
922,909,bank_transfer,1831
923,910,bank_transfer,2136
924,911,bank_transfer,1117
925,912,bank_transfer,281
926,913,coupon,714
927,914,credit_card,1943
928,915,bank_transfer,738
929,916,credit_card,263
930,917,coupon,485
931,918,credit_card,1564
932,919,gift_card,1444
933,920,bank_transfer,2898
934,921,credit_card,221
935,922,bank_transfer,1238
936,923,gift_card,1230
937,924,credit_card,2574
938,925,bank_transfer,295
939,926,coupon,922
940,927,bank_transfer,1673
941,928,gift_card,793
942,929,coupon,724
943,930,credit_card,2449
944,931,bank_transfer,448
945,932,credit_card,2331
946,933,bank_transfer,2785
947,934,bank_transfer,617
948,935,credit_card,2502
949,936,bank_transfer,1766
950,937,credit_card,2129
951,938,gift_card,586
952,939,bank_transfer,2187
953,940,gift_card,973
954,941,gift_card,937
955,942,coupon,104
956,943,coupon,541
957,944,bank_transfer,1325
958,945,bank_transfer,1119
959,946,credit_card,2353
960,947,gift_card,196
961,948,coupon,526
962,949,gift_card,23
963,950,gift_card,114
964,951,credit_card,725
965,952,gift_card,238
966,953,coupon,677
967,954,bank_transfer,291
968,955,coupon,322
969,956,credit_card,2550
970,957,credit_card,1670
971,958,gift_card,867
972,959,gift_card,1196
973,960,gift_card,1219
974,961,gift_card,1225
975,962,credit_card,1032
976,963,coupon,315
977,964,gift_card,144
978,965,coupon,646
979,966,bank_transfer,760
980,967,bank_transfer,1186
981,968,credit_card,1135
982,969,credit_card,685
983,970,gift_card,1112
984,971,coupon,572
985,972,gift_card,1666
986,973,gift_card,1368
987,974,bank_transfer,201
988,975,gift_card,140
989,976,coupon,112
990,977,coupon,904
991,978,credit_card,1484
992,979,bank_transfer,1909
993,980,bank_transfer,2744
994,981,gift_card,268
995,982,gift_card,1963
996,983,gift_card,729
997,984,gift_card,364
998,985,bank_transfer,1085
999,986,coupon,473
1000,987,bank_transfer,1522
1001,988,gift_card,520
1002,989,gift_card,1855
1003,990,credit_card,365
1004,991,gift_card,1127
1005,992,credit_card,356
1006,993,credit_card,1266
1007,994,gift_card,630
1008,995,credit_card,2337
1009,996,bank_transfer,315
1010,997,gift_card,160
1011,998,credit_card,2031
1012,999,gift_card,1905
1013,1000,credit_card,1940
1014,1001,bank_transfer,983
1015,1002,bank_transfer,402
1016,1003,credit_card,1486
1017,1004,credit_card,2482
1018,1005,coupon,185
1019,1006,coupon,693
1020,1007,bank_transfer,2069
1021,1008,bank_transfer,2907
1022,1009,bank_transfer,339
1023,1010,gift_card,893
1024,1011,coupon,534
1025,1012,gift_card,58
1026,1013,credit_card,862
1027,1014,credit_card,1807
1028,1015,gift_card,1644
1029,1016,credit_card,1693
1030,1017,gift_card,1179
1031,1018,coupon,421
1032,1019,credit_card,2298
1033,1020,gift_card,1728
1034,1021,coupon,440
1035,1022,coupon,295
1036,1023,gift_card,737
1037,1024,bank_transfer,2360
1038,1025,gift_card,1188
1039,1026,coupon,615
1040,1027,coupon,246
1041,1028,credit_card,629
1042,1029,bank_transfer,2566
1043,1030,coupon,412
1044,1031,coupon,737
1045,1032,credit_card,1724
1046,1033,gift_card,625
1047,1034,coupon,580
1048,1035,credit_card,1926
1049,1036,credit_card,1143
1050,1037,coupon,658
1051,1038,coupon,301
1052,1039,coupon,818
1053,1040,coupon,520
1054,1041,coupon,172
1055,1042,credit_card,2801
1056,1043,credit_card,1628
1057,1044,bank_transfer,687
1058,1045,credit_card,1290
1059,1046,gift_card,11
1060,1047,credit_card,2662
1061,1048,credit_card,2028
1062,1049,coupon,479
1063,1050,coupon,806
1064,1051,bank_transfer,1579
1065,1052,credit_card,2972
1066,1053,credit_card,2049
1067,1054,bank_transfer,2879
1068,1055,bank_transfer,1083
1069,1056,gift_card,1209
1070,1057,bank_transfer,1718
1071,1058,bank_transfer,664
1072,1059,credit_card,1957
1073,1060,credit_card,2873
1074,1061,bank_transfer,1831
1075,1062,bank_transfer,1250
1076,1063,coupon,285
1077,1064,bank_transfer,768
1078,1065,coupon,142
1079,1066,coupon,793
1080,1067,coupon,694
1081,1068,credit_card,2242
1082,1069,coupon,966
